obs_id,target_name,s_ra,s_dec,instrument_name,filters,proposal_id,proposal_pi,obs_title,t_min,t_max,t_exptime,calib_level,dataproduct_type
icuo01010,SN-2002AP,24.09945833333,15.75361111111,WFC3/UVIS,F275W,14075,"Fox, Ori Dosovitz",Long-Lost Companions: A Search for the Binary Secondaries of Three Nearby Supernovae,57434.264591203704,57434.34594545139,2778.0,3,image
hst_16797_02_wfc3_uvis_f275w_ieps02,M31-B28-F02-UVIS,10.73324375,40.89982777778,WFC3/UVIS,F275W,16797,"Williams, Benjamin F.",,59557.75462581,59557.76990375,1182.0,3,image
hst_16778_19_wfc3_uvis_f275w_iepq19,M31-B25-F04-UVIS,10.54245,41.23057222222,WFC3/UVIS,F275W,16778,"Williams, Benjamin F.",,59784.95385776,59784.9691357,1182.0,3,image
hst_16778_30_wfc3_uvis_f275w_iepq30,M31-B25-F15-UVIS,10.44469541667,41.17241111111,WFC3/UVIS,F275W,16778,"Williams, Benjamin F.",,59788.92118443,59788.936462,1182.0,3,image
hst_16796_26_wfc3_uvis_f275w_iepr26,M31-B27-F11-UVIS,10.55990416667,41.00064722222,WFC3/UVIS,F275W,16796,"Williams, Benjamin F.",,59940.55814602,59940.57342359,1182.0,3,image
hst_16798_24_wfc3_uvis_f275w_iept24,M31-B31-F09-UVIS,10.2370475,40.87957777778,WFC3/UVIS,F275W,16798,"Williams, Benjamin F.",,59768.95038554,59768.96566348,1182.0,3,image
hst_16798_39_wfc3_uvis_f275w_iept39,M31-B30-F05-UVIS,10.44564875,40.85748611111,WFC3/UVIS,F275W,16798,"Williams, Benjamin F.",,59786.67302443,59786.68830237,1182.0,3,image
icuo03020,SN-2010BR,180.7956666667,44.52855555556,WFC3/UVIS,F275W,14075,"Fox, Ori Dosovitz",Long-Lost Companions: A Search for the Binary Secondaries of Three Nearby Supernovae,57537.24063561342,57537.38997577546,2876.0,3,image
icuo02030,SN-2001IG,344.3780833333,-41.04058333333,WFC3/UVIS,F275W,14075,"Fox, Ori Dosovitz",Long-Lost Companions: A Search for the Binary Secondaries of Three Nearby Supernovae,57506.932486655096,57506.9493849537,2920.0,3,image
icuo03010,SN-2010BR,180.7956666667,44.52855555556,WFC3/UVIS,F275W,14075,"Fox, Ori Dosovitz",Long-Lost Companions: A Search for the Binary Secondaries of Three Nearby Supernovae,57537.175716701386,57537.342476122685,2876.0,3,image
icuo02020,SN-2001IG,344.3780833333,-41.04058333333,WFC3/UVIS,F275W,14075,"Fox, Ori Dosovitz",Long-Lost Companions: A Search for the Binary Secondaries of Three Nearby Supernovae,57506.88581998843,57507.034419791664,2887.0,3,image
hst_16800_33_wfc3_uvis_f275w_iepv33,M31-B35-F05-UVIS,9.98683,40.73470277778,WFC3/UVIS,F275W,16800,"Williams, Benjamin F.",,59795.5999111,59795.61518867,1182.0,3,image
hst_15654_22_wfc3_uvis_f275w_idxr22,NGC-3627,170.0646666667,13.00013888889,WFC3/UVIS,F275W,15654,"Lee, Janice",,58798.69678497,58798.85462031,2190.0,3,image
hst_17509_13_wfc3_uvis_f275w_if9e13,N83-F13-UVIS,18.47739875,-73.30787777778,WFC3/UVIS,F275W,17509,"Lindberg, Christina Willecke",,60697.06811444,60697.08339201,1182.0,3,image
icuo02010,SN-2001IG,344.3780833333,-41.04058333333,WFC3/UVIS,F275W,14075,"Fox, Ori Dosovitz",Long-Lost Companions: A Search for the Binary Secondaries of Three Nearby Supernovae,57506.8678803588,57507.01584313657,2887.0,3,image
icu106030,ABELLS1063,342.1837813414,-44.53015094621,WFC3/UVIS,F275W,14209,"Siana, Brian",The Final UV Frontier: Legacy Near-UV Imaging of the Frontier Fields,57505.0824403588,57505.30423460648,11280.0,3,image
icu109030,ABELL370,39.97055108002,-1.576824772752,WFC3/UVIS,F275W,14209,"Siana, Brian",The Final UV Frontier: Legacy Near-UV Imaging of the Frontier Fields,57620.68568394676,57620.91490856482,11120.0,3,image
icu105030,ABELLS1063,342.1853853241,-44.5300712704,WFC3/UVIS,F275W,14209,"Siana, Brian",The Final UV Frontier: Legacy Near-UV Imaging of the Frontier Fields,57498.7136440625,57498.93769533565,11280.0,3,image
icu101030,MACSJ0416,64.0377014839,-24.07473854595,WFC3/UVIS,F275W,14209,"Siana, Brian",The Final UV Frontier: Legacy Near-UV Imaging of the Frontier Fields,57601.879341087966,57602.10654050926,11080.0,3,image
ics456mfq,BIAS,233.3883117159,57.28076732833,WFC3/UVIS,F275W,14013,"McCullough, Peter",WFC3 UVIS CTE in subarrays,57211.080341898145,57211.080341898145,0.0,2,image
