targname,matched_snname,cubename,rasn,decsn,sntype,fits_subfolder,fits_filename,fits_relpath,redshift,redshift_source
LSQ12CID-HOST,LSQ12cid,LSQ12cid,10:03:57.04,-06:14:37.76,Ia,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST,iepo66010_drc.fits,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo66010_drc.fits,0.062722,corez_zobs
LSQ12DBR-HOST,LSQ12dbr,LSQ12dbr,20:58:51.89,-02:58:27.10,Ia,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g1r010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g1r010_drc.fits,0.019654,corez_zobs
LSQ12FHS-HOST,LSQ12fhs,LSQ12fhs,22:52:23.45,-20:36:53.30,Ia-91bg,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST,iepo67010_drc.fits,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo67010_drc.fits,0.033021,corez_zobs
LSQ12FMX-HOST,LSQ12fmx,LSQ12fmx,03:12:52.18,-00:12:12.80,Ia,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g1s010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g1s010_drc.fits,0.067314,corez_zobs
LSQ12FUK-HOST,LSQ12fuk,LSQ12fuk,04:58:15.88,-16:17:58.03,Ia,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST,iepo68010_drc.fits,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo68010_drc.fits,0.02042,corez_zobs
LSQ12FVL-HOST,SN2012he,LSQ12fvl,05:00:50.069,-38:39:11.41,Ia,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST,iepo69010_drc.fits,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo69010_drc.fits,0.055877,corez_zobs
LSQ12FXD-HOST,LSQ12fxd,LSQ12fxd,05:22:17.02,-25:35:47.01,Ia-91T,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST,iepo70010_drc.fits,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo70010_drc.fits,0.031577,corez_zobs
LSQ12GLN-HOST,LSQ12gln,LSQ12gln,05:22:59.41,-33:27:51.32,Ia,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g1t010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g1t010_drc.fits,0.101994,corez_zobs
LSQ12GPW-HOST,LSQ12gpw,LSQ12gpw,03:12:58.24,-11:42:40.13,Ia-03fg,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g33010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g33010_drc.fits,0.05075,corez_zobs
LSQ12GXJ-HOST,LSQ12gxj,LSQ12gxj,02:52:57.38,+01:36:24.25,Ia-91T,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST,iepo73010_drc.fits,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo73010_drc.fits,0.035366,corez_zobs
LSQ12GYC-HOST,LSQ12gyc,LSQ12gyc,02:45:50.07,-17:55:45.74,Ia-91T,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST,iepo74010_drc.fits,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo74010_drc.fits,0.089708,corez_zobs
LSQ12HJM-HOST,LSQ12hjm,LSQ12hjm,03:10:28.72,-16:29:37.08,Ia,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST,iepo76010_drc.fits,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo76010_drc.fits,0.071255,corez_zobs
LSQ12HNX-HOST,LSQ12hnx,LSQ12hnx,02:35:17.81,-30:57:49.48,Ia,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g1v010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g1v010_drc.fits,0.156433,corez_zobs
LSQ12HVJ-HOST,LSQ12hvj,LSQ12hvj,11:07:38.62,-29:42:40.96,Ia-91T,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g38010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g38010_drc.fits,0.071163,corez_zobs
