cubename,zalpha,zbeta,zoiii,zobs,zhelio,ezhelio,zcmb,notes
SN2005M,0.024384,0.024472,0.024420,0.024425,0.024336,0.000196,0.025336,
SN2008bc,0.014815,0.014862,0.014797,0.014825,0.014798,0.000193,0.015438,
SN2007al,0.012198,0.012208,0.012207,0.012204,0.012119,0.000191,0.013284,
SN2007S,0.013870,0.013932,0.013971,0.013924,0.013843,0.000197,0.015014,
LSQ12agq,0.064715,0.064777,0.064679,0.064723,0.064638,0.000197,0.065920,
LSQ12aor,0.093380,0.093387,0.093467,0.093411,0.093366,0.000195,0.094705,
LSQ12hvj,0.071143,0.071173,0.071174,0.071163,0.071147,0.000191,0.072370,
SN2007bc,0.020662,0.020596,0.020655,0.020638,0.020585,0.000193,0.021702,
SN2009aa,0.027188,0.027276,0.027300,0.027255,0.027231,0.000199,0.028457,
SN2013ao,0.043206,0.043270,0.043164,0.043213,0.043135,0.000198,0.044378,
SN2013as,0.068508,0.068584,0.068479,0.068524,0.068445,0.000198,0.069720,
SN2005bg,0.023030,0.023023,0.023024,0.023026,0.022938,0.000190,0.024052,
SN2008ar,0.026096,0.026131,0.026027,0.026085,0.025997,0.000197,0.027145,
CSP12N,0.097298,0.097379,0.097265,0.097314,0.097236,0.000199,0.098490,
SN2012G,0.025913,0.025951,0.025976,0.025947,0.025862,0.000193,0.026939,
PS1-14rx,0.066534,0.066616,0.066623,0.066591,0.066507,0.000196,0.067627,
SN2006D,0.008465,0.008491,0.008463,0.008473,0.008403,0.000191,0.009534,
LSQ14ie,0.089483,0.089529,0.089479,0.089497,0.089443,0.000192,0.090544,
SN2007cg,0.033213,0.033215,0.033215,0.033214,0.033157,0.000190,0.034186,
SN2013bz,0.019349,0.019361,0.019442,0.019384,0.019311,0.000196,0.020364,
SN2006br,0.024765,0.024778,0.024776,0.024773,0.024697,0.000191,0.025671,
LSQ14ahc,0.050810,0.050883,0.050885,0.050859,0.050816,0.000194,0.051757,
CSP14abn,nan,nan,nan,0.022516,0.022489,0.001000,0.023282,
LSQ12cfx,0.037878,0.037956,0.037989,0.037941,0.037896,0.000198,0.038820,
SN2008cf,0.047219,0.047275,0.047209,0.047234,0.047197,0.000193,0.048098,
LSQ14bjj,0.080952,0.081040,0.080935,0.080975,0.080998,0.000198,0.081912,
SN2011jt,0.027802,0.027866,0.027816,0.027828,0.027787,0.000193,0.028497,
SN2005ag,0.079328,0.079374,0.079372,0.079358,0.079317,0.000192,0.080019,
SN2005be,0.033829,0.033844,0.033842,0.033838,0.033797,0.000191,0.034417,
SN2007ba,0.038236,0.038251,0.038225,0.038237,0.038206,0.000191,0.038796,
SN2006bt,0.032181,0.032189,0.032317,0.032229,0.032211,0.000202,0.032543,
LSQ14bbv,0.058634,0.058601,0.058683,0.058640,0.058693,0.000195,0.058354,
SN2008ff,0.019197,0.019293,0.019200,0.019230,0.019283,0.000196,0.018752,
SN2006eq,0.049483,0.049568,0.049559,0.049537,0.049632,0.000195,0.048469,
SN2013fy,0.030998,0.031005,0.031036,0.031013,0.031069,0.000191,0.030392,
SN2014at,0.031593,0.031879,0.031751,0.031741,0.031817,0.000238,0.031118,
SN2004ey,0.015801,0.015891,0.015872,0.015855,0.015948,0.000196,0.014781,
