snname,cubename,sem,rasn,decsn,sntype,notes
              SN2016afa,               SN2017ivu, P103 ,15:36:32.47  ,+16:36:36.6   ,II      ,
              SN2016blz,               SN2016blz, P103 ,15:40:29.300 ,+00:54:37.10  ,II      ,COMBINED 7 POINTINGS P103 and P104
            ASASSN-15bd,             ASASSN-15bd, P103 ,15:54:38.33  ,+16:36:38.06  ,IIb     ,COMBINED 5 POINTINGS
              SN2018cow,               SN2018cow, P103 ,16:16:00.220 ,+22:16:04.91  ,FBOT    ,
            ASASSN-15fi,             ASASSN-15fi, P103 ,16:31:48.80  ,+20:24:38.50  ,II      ,
              SN2016dsb,               SN2016dsb, P103 ,01:58:59.71  ,-32:22:18.5   ,IIb     ,CUBE IS REALLY BAD...
              SN2018evy,               SN2018evy, P103 ,18:22:38.180 ,+15:41:47.65  ,II      ,
                SN1998V,               SN2018evy, P103 ,18:22:37.40  ,+15:42:08.4   ,Ia      ,
             SN2021abkm,               SN2018evy, P103 ,18:22:37.630 ,+15:42:17.68  ,II      ,
                PS15apj,             PSNJ1828582, P103 ,18:28:58.23  ,+22:54:10.6   ,IIb     ,combined 7 and 5 pointings much worse than only 4 pointing from arxive
            ASASSN-15oz,             ASASSN-15oz, P103 ,19:19:33.49  ,-33:46:02.0   ,II      ,COMBINED 8 POINTINGS P103 and P104
              SN2018eog,               SN2018eog, P103 ,20:28:12.050 ,-03:08:10.79  ,II      ,
            SN2017ivv_A,             SN2017ivv_A, P103 ,20:28:49.78  ,-04:22:57.17  ,IIb     ,spectrum here. P104 2nd epoch
            ASASSN-15ta,             ASASSN-15ta, P103 ,20:29:33.02  ,-61:57:03.4   ,Ib      ,
            ASASSN-15lx,             ASASSN-15lx, P103 ,20:36:05.24  ,-73:06:32.41  ,IIn     ,COMBINED 8 POINTINGS P103 and P104
              SN2018cuf,               SN2018cuf, P103 ,21:16:11.550 ,-64:28:57.50  ,II      ,
