sn_name,cubename,sn_ra_deg,sn_dec_deg,sn_type,sem,notes,obs_id,target_name,proposal_id,proposal_pi,instrument_name,filters,sep_arcsec,t_exptime,calib_level,t_min,t_max,obs_title
SN1984V,SN2008fq,306.2625,-24.81388888888889,?       ,P97  ,,hst_16287_35_wfc3_uvis_f275w_iebj35,SN2008FQ-HOST,16287,"Lyman, Joseph",WFC3/UVIS,F275W,36.6362388759295,1500.0,3,59358.96540099,59358.98597967,
SN1985P,NGC1433,55.5265,-47.21,II      ,arx  ,PHANGS,hst_13364_10_wfc3_uvis_f275w_icdm10,NGC1433,13364,"Calzetti, Daniela",WFC3/UVIS,F275W,51.839952400091406,2376.0,3,56545.30830427,56545.38120925,
SN1986I,NGC4254,184.71699999999998,14.412330555555556,II      ,arx  ,PHANGS,hst_skycell-p1635x08y13_wfc3_uvis_f275w_all,NGC-4254-W,,,WFC3/UVIS,F275W,75.10858816631958,4440.0,3,58929.67135098,58931.66657077,
SN1987A,SN1987A,83.86662083333331,-69.26986111111111,II      ,arx  ,,hst_16789_03_wfc3_uvis_f275w_iemk03,SN-1987A,16789,"Larsson, Josefin",WFC3/UVIS,F275W,0.4604253663089042,2800.0,3,59828.44366301,59828.52711206,
SN1988E,SN2012cu,193.3704208333333,2.173061111111111,II      ,P97  ,JOINED WITH HK 1988E (tot i que a l'arxiu diu 1998E),hst_skycell-p1370x05y12_wfc3_uvis_f275w_all,SN2012CU,,,WFC3/UVIS,F275W,44.53151440410955,1044.0,3,56110.74710288,56115.76832971,
SN1990Q,SN1990Q,230.38854166666664,-7.374061111111111,II      ,HK   ,,hst_17179_43_wfc3_uvis_f275w_if0g43,SN2005CF-B-HOST,17179,"Galbany, Lluis",WFC3/UVIS,F275W,16.553851373386642,1650.0,3,60116.52065157,60116.54296618,
SN1992A,NGC1380,54.11429166666666,-34.95875,Ia      ,arx  ,,hst_17756_21_wfc3_uvis_f275w_ifey21,NGC-1380,17756,"Goudfrooij, Paul",WFC3/UVIS,F275W,63.21060421416593,2514.0,3,60891.63064444,60891.66125794,
SN1992bd,NGC1097,41.57875,-30.275,II      ,arx  ,,hst_15654_04_wfc3_uvis_f275w_idxr04,NGC-1097,15654,"Lee, Janice",WFC3/UVIS,F275W,26.172095212130944,2322.0,3,58735.64164448,58735.67162094,
SN1994Z,NGC0087,5.319170833333333,-48.63041944444444,II      ,arx  ,MUSE-DEEP,hst_14779_13_wfc3_uvis_f275w_id7613,ASASSN-15UT,14779,"Graham, Melissa Lynn",WFC3/UVIS,F275W,60.364408652117945,858.0,3,57721.98657756,57721.99805884,
SN1995V,NGC1087,41.61154166666666,-0.49878055555555556,II      ,arx  ,PHANGS,hst_15654_03_wfc3_uvis_f275w_idxr03,NGC-1087,15654,"Lee, Janice",WFC3/UVIS,F275W,24.232110096150347,2190.0,3,58737.78379707,58737.97729242,
SN1997bs,NGC3627,170.05937916666664,12.972111111111111,IIn     ,arx  ,PHANGS,hst_skycell-p1632x18y07_wfc3_uvis_f275w_all,NGC-3627,,,WFC3/UVIS,F275W,102.59066540778083,4551.0,3,56696.59260537,58798.85462031,
SN1997dq,SN1997dq,175.2329208333333,11.47936111111111,Ib      ,P114 ,,hst_17128_97_wfc3_uvis_f275w_if1z97,SN2022ZUT,17128,"Foley, Ryan",WFC3/UVIS,F275W,55.374430008373686,1523.0,3,59957.56801862,59957.58976619,
SN1998V,SN2018evy,275.6558333333333,15.702333333333332,Ia      ,P103 ,,iebjcp010,SN2018EVY-HOST,16287,"Lyman, Joseph",WFC3/UVIS,F275W,19.060282785774163,1650.0,3,59300.12394070602,59300.14738973379,A public UV snapshot survey of core-collapse supernova hosts in IF
SN1999cl,NGC4501,187.9833708333333,14.426469444444443,Ia      ,arx  ,THIS NEEDS TO BE COMBINED -- TO DO -- 24 of 32 cubes reduced other 8 have problems,hst_18103_28_wfc3_uvis_f275w_ifoq28,NGC4501-N,18103,"Thilker, David",WFC3/UVIS,F275W,39.54737482281712,2028.0,3,61107.53620784,61107.67290912,
SN1999dh,SN2017fbu,32.77529166666666,3.8519194444444445,II      ,P101 ,,iebj66010,SN2017FBU-HOST,16287,"Lyman, Joseph",WFC3/UVIS,F275W,7.081842906298112,1800.0,3,59131.074204247685,59131.09986362269,A public UV snapshot survey of core-collapse supernova hosts in IF
SN1999ga,SN2016jbu,114.06957916666664,-69.5560611111111,II      ,P100 ,,hst_16287_44_wfc3_uvis_f275w_iebj44,SN2016JBU-HOST,16287,"Lyman, Joseph",WFC3/UVIS,F275W,55.32753216680363,1800.0,3,59275.74511081,59275.7746132,
