obs_id,target_name,s_ra,s_dec,instrument_name,filters,proposal_id,proposal_pi,obs_title,t_min,t_max,t_exptime,calib_level,dataproduct_type,sep_arcsec,sn_name,cubename,sn_ra_deg,sn_dec_deg,sn_type,sem,notes
hst_skycell-p1928x08y01_wfc3_uvis_f275w_all,SN2014CE-HOST,351.9216216667,23.59005555556,WFC3/UVIS,F275W,,,,59131.39907681,59131.42252586,1650.0,3,image,5.316290452917997,SN2014ce,SN2014ce,351.92024999999995,23.589280555555554,II      ,P103 ,
iebjdj010,SN2014CE-HOST,351.9253628446,23.58801155048,WFC3/UVIS,F275W,16287,"Lyman, Joseph",A public UV snapshot survey of core-collapse supernova hosts in IF,59131.39907681713,59131.42252584491,1650.0,3,image,17.475937649183017,SN2014ce,SN2014ce,351.92024999999995,23.589280555555554,II      ,P103 ,
hst_14779_55_wfc3_uvis_f275w_id7655,PTF14FPG,7.05,7.162083333333,WFC3/UVIS,F275W,14779,"Graham, Melissa Lynn",,58005.22603362,58005.23751489,858.0,3,image,0.7188502514119629,SN2014dk,SN2014dk,7.049829166666666,7.162188888888889,Ia-91T  ,P99  ,TWO ANALYSES A: B: but no lines from the host found
hst_skycell-p1414x15y16_wfc3_uvis_f275w_all,PTF14FPG,7.05,7.162083333333,WFC3/UVIS,F275W,,,,58005.22603362,58005.23751489,858.0,3,image,0.7188502514119629,SN2014dk,SN2014dk,7.049829166666666,7.162188888888889,Ia-91T  ,P99  ,TWO ANALYSES A: B: but no lines from the host found
id7655010,PTF14FPG,7.05,7.162083333333,WFC3/UVIS,F275W,14779,"Graham, Melissa Lynn",A NUV Imaging Survey for Circumstellar Material in Type Ia Supernovae,58005.226033645835,58005.23751489583,858.0,3,image,0.7188502514119629,SN2014dk,SN2014dk,7.049829166666666,7.162188888888889,Ia-91T  ,P99  ,TWO ANALYSES A: B: but no lines from the host found
hst_skycell-p1458x13y04_wfc3_uvis_f275w_all,SN2014DT,185.489875,4.471805555556,WFC3/UVIS,F275W,,,,57812.13591229,58937.87605003,3048.0,3,image,0.02497262789792758,SN2014dt,NGC4303,185.4898708333333,4.471811111111111,Ia-02cx ,arx  ,NO LC 
hst_skycell-p1458x13y05_wfc3_uvis_f275w_all,SN2014DT,185.489875,4.471805555556,WFC3/UVIS,F275W,,,,57812.13591229,58937.87605003,3048.0,3,image,0.02497262789792758,SN2014dt,NGC4303,185.4898708333333,4.471811111111111,Ia-02cx ,arx  ,NO LC 
hst_skycell-p1458x14y05_wfc3_uvis_f275w_all,SN2014DT,185.489875,4.471805555556,WFC3/UVIS,F275W,,,,57812.13591229,58937.87605003,3048.0,3,image,0.02497262789792758,SN2014dt,NGC4303,185.4898708333333,4.471811111111111,Ia-02cx ,arx  ,NO LC 
hst_15654_26_wfc3_uvis_f275w_idxr26,NGC-4303,185.4806916667,4.474611111111,WFC3/UVIS,F275W,15654,"Lee, Janice",,58937.68147839,58937.87605003,2190.0,3,image,34.45193834669176,SN2014dt,NGC4303,185.4898708333333,4.471811111111111,Ia-02cx ,arx  ,NO LC 
hst_skycell-p1458x14y04_wfc3_uvis_f275w_all,NGC-4303,185.4806916667,4.474611111111,WFC3/UVIS,F275W,,,,58937.68147839,58937.87605003,2190.0,3,image,34.45193834669176,SN2014dt,NGC4303,185.4898708333333,4.471811111111111,Ia-02cx ,arx  ,NO LC 
idxr26060,NGC-4303,185.4806916667,4.474611111111,WFC3/UVIS,F275W,15654,"Lee, Janice",PHANGS-HST: Linking Stars and Gas throughout the Scales of Star Formation,58937.681478391205,58937.87605003472,2190.0,3,image,34.45193834669176,SN2014dt,NGC4303,185.4898708333333,4.471811111111111,Ia-02cx ,arx  ,NO LC 
hst_14779_70_wfc3_uvis_f275w_id7670,SN2014DT,185.489875,4.471805555556,WFC3/UVIS,F275W,14779,"Graham, Melissa Lynn",,57812.13591229,57812.14739394,858.0,3,image,0.02497262789792758,SN2014dt,NGC4303,185.4898708333333,4.471811111111111,Ia-02cx ,arx  ,NO LC 
id7670010,SN2014DT,185.489875,4.471805555556,WFC3/UVIS,F275W,14779,"Graham, Melissa Lynn",A NUV Imaging Survey for Circumstellar Material in Type Ia Supernovae,57812.14242858796,57812.14739394676,858.0,3,image,0.02497262789792758,SN2014dt,NGC4303,185.4898708333333,4.471811111111111,Ia-02cx ,arx  ,NO LC 
iegq02010,NGC-3568,167.7009798304,-37.44837340749,WFC3/UVIS,F275W,16424,"Sun, Ming",Radio galaxy harassment caught in the act,59214.97163707176,59215.04936832176,2529.0,3,image,8.320446075408638,SN2014dw,SN2014dw,167.7017083333333,-37.450611111111115,II      ,P103 ,
hst_16424_02_wfc3_uvis_f275w_iegq02,NGC-3568,167.7007333333,-37.44773611111,WFC3/UVIS,F275W,16424,"Sun, Ming",,59214.97163706,59215.04936833,2529.0,3,image,10.718556011272451,SN2014dw,SN2014dw,167.7017083333333,-37.450611111111115,II      ,P103 ,
hst_skycell-p0521x19y13_wfc3_uvis_f275w_all,NGC-3568,167.7007333333,-37.44773611111,WFC3/UVIS,F275W,,,,59214.97163706,59215.04936833,2529.0,3,image,10.718556011272451,SN2014dw,SN2014dw,167.7017083333333,-37.450611111111115,II      ,P103 ,
hst_16287_35_wfc3_uvis_f275w_iebj35,SN2008FQ-HOST,306.2729408333,-24.81018055556,WFC3/UVIS,F275W,16287,"Lyman, Joseph",,59358.96540099,59358.98597967,1500.0,3,image,42.957192961763496,SN2014eh,SN2008fq,306.2660833333333,-24.82036111111111,Ic      ,P97  ,
hst_skycell-p0784x15y16_wfc3_uvis_f275w_all,SN2008FQ-HOST,306.2729408333,-24.81018055556,WFC3/UVIS,F275W,,,,59358.96540099,59358.98597967,1500.0,3,image,42.957192961763496,SN2014eh,SN2008fq,306.2660833333333,-24.82036111111111,Ic      ,P97  ,
iebj35010,SN2008FQ-HOST,306.2729408333,-24.81018055556,WFC3/UVIS,F275W,16287,"Lyman, Joseph",A public UV snapshot survey of core-collapse supernova hosts in IF,59358.96540100694,59358.98597966435,1500.0,3,image,42.957192961763496,SN2014eh,SN2008fq,306.2660833333333,-24.82036111111111,Ic      ,P97  ,
hst_16287_cs_wfc3_uvis_f275w_iebjcs,PSNJ2025038-HOST,306.2773541667,-24.80890277778,WFC3/UVIS,F275W,16287,"Lyman, Joseph",,59174.15369571,59174.17427439,1500.0,3,image,55.29843928541997,SN2014eh,SN2008fq,306.2660833333333,-24.82036111111111,Ic      ,P97  ,
iebjcs010,PSNJ2025038-HOST,306.2773541667,-24.80890277778,WFC3/UVIS,F275W,16287,"Lyman, Joseph",A public UV snapshot survey of core-collapse supernova hosts in IF,59174.15369571759,59174.16687847222,1500.0,3,image,55.29843928541997,SN2014eh,SN2008fq,306.2660833333333,-24.82036111111111,Ic      ,P97  ,
hst_16287_dh_wfc3_uvis_f275w_iebjdh,MASTEROT-HOST,345.0986270833,1.626530555556,WFC3/UVIS,F275W,16287,"Lyman, Joseph",,59339.12058532,59339.14403437,1650.0,3,image,14.429484706703205,SN2015ah,SN2015ah,345.10262083333333,1.6268888888888888,Ib-pec  ,P103 ,
hst_skycell-p1408x06y09_wfc3_uvis_f275w_all,MASTEROT-HOST,345.0986270833,1.626530555556,WFC3/UVIS,F275W,,,,59339.12058532,59339.14403437,1650.0,3,image,14.429484706703205,SN2015ah,SN2015ah,345.10262083333333,1.6268888888888888,Ib-pec  ,P103 ,
iebjdh010,MASTEROT-HOST,345.0951281582,1.625079422946,WFC3/UVIS,F275W,16287,"Lyman, Joseph",A public UV snapshot survey of core-collapse supernova hosts in IF,59339.12058533565,59339.144034375,1650.0,3,image,27.73849572770533,SN2015ah,SN2015ah,345.10262083333333,1.6268888888888888,Ib-pec  ,P103 ,
hst_16287_di_wfc3_uvis_f275w_iebjdi,SN2015BF-HOST,351.20594625,15.27600277778,WFC3/UVIS,F275W,16287,"Lyman, Joseph",,59346.20538865,59346.22883733,1650.0,3,image,19.26676719066295,SN2015bf,SN2015bf,351.2042916666666,15.281111111111112,IIn     ,P103 ,
hst_skycell-p1676x13y16_wfc3_uvis_f275w_all,SN2015BF-HOST,351.20594625,15.27600277778,WFC3/UVIS,F275W,,,,59346.20538865,59346.22883733,1650.0,3,image,19.26676719066295,SN2015bf,SN2015bf,351.2042916666666,15.281111111111112,IIn     ,P103 ,
hst_skycell-p1676x14y16_wfc3_uvis_f275w_all,SN2015BF-HOST,351.20594625,15.27600277778,WFC3/UVIS,F275W,,,,59346.20538865,59346.22883733,1650.0,3,image,19.26676719066295,SN2015bf,SN2015bf,351.2042916666666,15.281111111111112,IIn     ,P103 ,
iebjdi010,SN2015BF-HOST,351.2023543299,15.27479628848,WFC3/UVIS,F275W,16287,"Lyman, Joseph",A public UV snapshot survey of core-collapse supernova hosts in IF,59346.20538865741,59346.22883734954,1650.0,3,image,23.708031338231734,SN2015bf,SN2015bf,351.2042916666666,15.281111111111112,IIn     ,P103 ,
iebjbi010,PSNJ0919528-HOST,139.9721206398,-68.91144348572,WFC3/UVIS,F275W,16287,"Lyman, Joseph",A public UV snapshot survey of core-collapse supernova hosts in IF,59483.9648084838,59483.97971605324,1650.0,3,image,2.523107952649551,SN2015bj,SN2015bj,139.97025,-68.91163888888889,II      ,P103 ,
hst_16287_bi_wfc3_uvis_f275w_iebjbi,PSNJ0919528-HOST,139.9792858333,-68.90844166667,WFC3/UVIS,F275W,16287,"Lyman, Joseph",,59483.95626702,59483.97971607,1650.0,3,image,16.416075728443946,SN2015bj,SN2015bj,139.97025,-68.91163888888889,II      ,P103 ,
hst_skycell-p0086x14y15_wfc3_uvis_f275w_all,PSNJ0919528-HOST,139.9792858333,-68.90844166667,WFC3/UVIS,F275W,,,,59483.95626702,59483.97971607,1650.0,3,image,16.416075728443946,SN2015bj,SN2015bj,139.97025,-68.91163888888889,II      ,P103 ,
hst_skycell-p0086x14y16_wfc3_uvis_f275w_all,PSNJ0919528-HOST,139.9792858333,-68.90844166667,WFC3/UVIS,F275W,,,,59483.95626702,59483.97971607,1650.0,3,image,16.416075728443946,SN2015bj,SN2015bj,139.97025,-68.91163888888889,II      ,P103 ,
hst_16287_fa_wfc3_uvis_f275w_iebjfa,SN2015BM-HOST,182.0004166667,19.74075,WFC3/UVIS,F275W,16287,"Lyman, Joseph",,59161.15524645,59161.1786955,1650.0,3,image,1.1306203895237138e-07,SN2015bm,SN2015bm,182.00041666666664,19.740750000000002,II      ,P104 ,
hst_skycell-p1721x03y18_wfc3_uvis_f275w_all,SN2015BM-HOST,182.0004166667,19.74075,WFC3/UVIS,F275W,,,,59161.15524645,59161.1786955,1650.0,3,image,1.1306203895237138e-07,SN2015bm,SN2015bm,182.00041666666664,19.740750000000002,II      ,P104 ,
hst_skycell-p1806x03y01_wfc3_uvis_f275w_all,SN2015BM-HOST,182.0004166667,19.74075,WFC3/UVIS,F275W,,,,59161.15524645,59161.1786955,1650.0,3,image,1.1306203895237138e-07,SN2015bm,SN2015bm,182.00041666666664,19.740750000000002,II      ,P104 ,
hst_skycell-p1806x03y02_wfc3_uvis_f275w_all,SN2015BM-HOST,182.0004166667,19.74075,WFC3/UVIS,F275W,,,,59161.15524645,59161.1786955,1650.0,3,image,1.1306203895237138e-07,SN2015bm,SN2015bm,182.00041666666664,19.740750000000002,II      ,P104 ,
iebjfa010,SN2015BM-HOST,181.9970427354,19.74270499969,WFC3/UVIS,F275W,16287,"Lyman, Joseph",A public UV snapshot survey of core-collapse supernova hosts in IF,59161.15524644676,59161.17869548611,1650.0,3,image,13.424976566627317,SN2015bm,SN2015bm,182.00041666666664,19.740750000000002,II      ,P104 ,
hst_16287_ca_wfc3_uvis_f275w_iebjca,SN2016C-HOST,204.5220833333,-17.85425,WFC3/UVIS,F275W,16287,"Lyman, Joseph",,59349.5489068,59349.57456659,1800.0,3,image,1.1414162223234363e-07,SN2016C,SN2016C,204.5220833333333,-17.85425,II      ,P103 ,
hst_skycell-p0929x13y11_wfc3_uvis_f275w_all,SN2016C-HOST,204.5220833333,-17.85425,WFC3/UVIS,F275W,,,,59349.5489068,59349.57456659,1800.0,3,image,1.1414162223234363e-07,SN2016C,SN2016C,204.5220833333333,-17.85425,II      ,P103 ,
hst_skycell-p0929x13y12_wfc3_uvis_f275w_all,SN2016C-HOST,204.5220833333,-17.85425,WFC3/UVIS,F275W,,,,59349.5489068,59349.57456659,1800.0,3,image,1.1414162223234363e-07,SN2016C,SN2016C,204.5220833333333,-17.85425,II      ,P103 ,
hst_skycell-p0929x14y11_wfc3_uvis_f275w_all,SN2016C-HOST,204.5220833333,-17.85425,WFC3/UVIS,F275W,,,,59349.5489068,59349.57456659,1800.0,3,image,1.1414162223234363e-07,SN2016C,SN2016C,204.5220833333333,-17.85425,II      ,P103 ,
hst_skycell-p0929x14y12_wfc3_uvis_f275w_all,SN2016C-HOST,204.5220833333,-17.85425,WFC3/UVIS,F275W,,,,59349.5489068,59349.57456659,1800.0,3,image,1.1414162223234363e-07,SN2016C,SN2016C,204.5220833333333,-17.85425,II      ,P103 ,
iebjca010,SN2016C-HOST,204.4980190568,-17.85239152913,WFC3/UVIS,F275W,16287,"Lyman, Joseph",A public UV snapshot survey of core-collapse supernova hosts in IF,59349.54890679398,59349.574566585645,1800.0,3,image,82.73059358600635,SN2016C,SN2016C,204.5220833333333,-17.85425,II      ,P103 ,
hst_16287_cg_wfc3_uvis_f275w_iebjcg,ASASSN-16AI-HOST,219.93956625,23.39810555556,WFC3/UVIS,F275W,16287,"Lyman, Joseph",,59360.81229914,59360.83574819,1650.0,3,image,14.439957797977096,SN2016I,SN2016I,219.93638749999997,23.395352777777777,II      ,P103 ,
hst_skycell-p1815x06y17_wfc3_uvis_f275w_all,ASASSN-16AI-HOST,219.93956625,23.39810555556,WFC3/UVIS,F275W,,,,59360.81229914,59360.83574819,1650.0,3,image,14.439957797977096,SN2016I,SN2016I,219.93638749999997,23.395352777777777,II      ,P103 ,
iebjcg010,ASASSN-16AI-HOST,219.9424670182,23.39583468466,WFC3/UVIS,F275W,16287,"Lyman, Joseph",A public UV snapshot survey of core-collapse supernova hosts in IF,59360.81229915509,59360.83574818287,1650.0,3,image,20.16166903309946,SN2016I,SN2016I,219.93638749999997,23.395352777777777,II      ,P103 ,
