Supernova,ra_deg,dec_deg,survey,local_fits,fits_path,live_checked,live_available,live_message
ASASSN-15as,144.8189583333333,6.43015,LegacySurvey,True,outputs/images/ASASSN-15as/LegacySurvey/LegacySurvey_r.fits,False,,
ASASSN-15as,144.8189583333333,6.43015,DES,False,,True,False,empty
ASASSN-15as,144.8189583333333,6.43015,PanSTARRS,True,outputs/images/ASASSN-15as/PanSTARRS/PanSTARRS_r.fits,False,,
ASASSN-15as,144.8189583333333,6.43015,SkyMapper,True,outputs/images/ASASSN-15as/SkyMapper/SkyMapper_r.fits,False,,
ASASSN-15ba,211.22954166666665,8.920702777777777,LegacySurvey,True,outputs/images/ASASSN-15ba/LegacySurvey/LegacySurvey_r.fits,False,,
ASASSN-15ba,211.22954166666665,8.920702777777777,DES,False,,True,False,empty
ASASSN-15ba,211.22954166666665,8.920702777777777,PanSTARRS,True,outputs/images/ASASSN-15ba/PanSTARRS/PanSTARRS_r.fits,False,,
ASASSN-15ba,211.22954166666665,8.920702777777777,SkyMapper,True,outputs/images/ASASSN-15ba/SkyMapper/SkyMapper_r.fits,False,,
ASASSN-15be,43.19329166666666,-34.314588888888885,LegacySurvey,True,outputs/images/ASASSN-15be/LegacySurvey/LegacySurvey_r.fits,False,,
ASASSN-15be,43.19329166666666,-34.314588888888885,DES,True,outputs/images/ASASSN-15be/DES/DES_r.fits,False,,
ASASSN-15be,43.19329166666666,-34.314588888888885,PanSTARRS,False,,True,False,empty
ASASSN-15be,43.19329166666666,-34.314588888888885,SkyMapper,True,outputs/images/ASASSN-15be/SkyMapper/SkyMapper_r.fits,False,,
ASASSN-15bm,226.46491666666665,-5.6269583333333335,LegacySurvey,True,outputs/images/ASASSN-15bm/LegacySurvey/LegacySurvey_r.fits,False,,
ASASSN-15bm,226.46491666666665,-5.6269583333333335,DES,False,,True,False,empty
ASASSN-15bm,226.46491666666665,-5.6269583333333335,PanSTARRS,True,outputs/images/ASASSN-15bm/PanSTARRS/PanSTARRS_r.fits,False,,
ASASSN-15bm,226.46491666666665,-5.6269583333333335,SkyMapper,True,outputs/images/ASASSN-15bm/SkyMapper/SkyMapper_r.fits,False,,
ASASSN-15da,80.96616666666667,-24.70232777777778,LegacySurvey,True,outputs/images/ASASSN-15da/LegacySurvey/LegacySurvey_r.fits,False,,
ASASSN-15da,80.96616666666667,-24.70232777777778,DES,True,outputs/images/ASASSN-15da/DES/DES_r.fits,False,,
ASASSN-15da,80.96616666666667,-24.70232777777778,PanSTARRS,False,,True,True,ok
ASASSN-15da,80.96616666666667,-24.70232777777778,SkyMapper,True,outputs/images/ASASSN-15da/SkyMapper/SkyMapper_r.fits,False,,
ASASSN-15db,236.74454166666666,17.884041666666665,LegacySurvey,True,outputs/images/ASASSN-15db/LegacySurvey/LegacySurvey_r.fits,False,,
ASASSN-15db,236.74454166666666,17.884041666666665,DES,False,,True,False,empty
ASASSN-15db,236.74454166666666,17.884041666666665,PanSTARRS,True,outputs/images/ASASSN-15db/PanSTARRS/PanSTARRS_r.fits,False,,
ASASSN-15db,236.74454166666666,17.884041666666665,SkyMapper,False,,True,False,empty
ASASSN-15fr,140.08516666666668,-7.640772222222222,LegacySurvey,True,outputs/images/ASASSN-15fr/LegacySurvey/LegacySurvey_r.fits,False,,
ASASSN-15fr,140.08516666666668,-7.640772222222222,DES,False,,True,False,empty
ASASSN-15fr,140.08516666666668,-7.640772222222222,PanSTARRS,True,outputs/images/ASASSN-15fr/PanSTARRS/PanSTARRS_r.fits,False,,
ASASSN-15fr,140.08516666666668,-7.640772222222222,SkyMapper,True,outputs/images/ASASSN-15fr/SkyMapper/SkyMapper_r.fits,False,,
ASASSN-15go,92.87708333333333,-16.48431111111111,LegacySurvey,False,,True,False,http_500:text/html; charset=utf-8
ASASSN-15go,92.87708333333333,-16.48431111111111,DES,False,,True,False,empty
ASASSN-15go,92.87708333333333,-16.48431111111111,PanSTARRS,True,outputs/images/ASASSN-15go/PanSTARRS/PanSTARRS_r.fits,False,,
ASASSN-15go,92.87708333333333,-16.48431111111111,SkyMapper,True,outputs/images/ASASSN-15go/SkyMapper/SkyMapper_r.fits,False,,
ASASSN-15hf,157.37816666666663,-35.25977777777778,LegacySurvey,True,outputs/images/ASASSN-15hf/LegacySurvey/LegacySurvey_r.fits,False,,
ASASSN-15hf,157.37816666666663,-35.25977777777778,DES,False,,True,False,empty
ASASSN-15hf,157.37816666666663,-35.25977777777778,PanSTARRS,False,,True,False,empty
ASASSN-15hf,157.37816666666663,-35.25977777777778,SkyMapper,True,outputs/images/ASASSN-15hf/SkyMapper/SkyMapper_r.fits,False,,
ASASSN-15hg,148.4525833333333,9.193827777777779,LegacySurvey,True,outputs/images/ASASSN-15hg/LegacySurvey/LegacySurvey_r.fits,False,,
ASASSN-15hg,148.4525833333333,9.193827777777779,DES,False,,True,False,empty
ASASSN-15hg,148.4525833333333,9.193827777777779,PanSTARRS,True,outputs/images/ASASSN-15hg/PanSTARRS/PanSTARRS_r.fits,False,,
ASASSN-15hg,148.4525833333333,9.193827777777779,SkyMapper,True,outputs/images/ASASSN-15hg/SkyMapper/SkyMapper_r.fits,False,,
ASASSN-15ho,137.34954166666665,-4.725272222222222,LegacySurvey,True,outputs/images/ASASSN-15ho/LegacySurvey/LegacySurvey_r.fits,False,,
ASASSN-15ho,137.34954166666665,-4.725272222222222,DES,False,,True,False,empty
ASASSN-15ho,137.34954166666665,-4.725272222222222,PanSTARRS,True,outputs/images/ASASSN-15ho/PanSTARRS/PanSTARRS_r.fits,False,,
ASASSN-15ho,137.34954166666665,-4.725272222222222,SkyMapper,True,outputs/images/ASASSN-15ho/SkyMapper/SkyMapper_r.fits,False,,
ASASSN-15hx,205.81954999999996,-31.55598611111111,LegacySurvey,True,outputs/images/ASASSN-15hx/LegacySurvey/LegacySurvey_r.fits,False,,
ASASSN-15hx,205.81954999999996,-31.55598611111111,DES,False,,True,False,empty
ASASSN-15hx,205.81954999999996,-31.55598611111111,PanSTARRS,True,outputs/images/ASASSN-15hx/PanSTARRS/PanSTARRS_r.fits,False,,
ASASSN-15hx,205.81954999999996,-31.55598611111111,SkyMapper,True,outputs/images/ASASSN-15hx/SkyMapper/SkyMapper_r.fits,False,,
SN2000dx,34.611999999999995,5.650561111111111,LegacySurvey,True,outputs/images/SN2000dx/LegacySurvey/LegacySurvey_r.fits,False,,
SN2000dx,34.611999999999995,5.650561111111111,DES,False,,True,False,empty
SN2000dx,34.611999999999995,5.650561111111111,PanSTARRS,True,outputs/images/SN2000dx/PanSTARRS/PanSTARRS_r.fits,False,,
SN2000dx,34.611999999999995,5.650561111111111,SkyMapper,True,outputs/images/SN2000dx/SkyMapper/SkyMapper_r.fits,False,,
