SN name,UV mag,UV abs mag,F275W-r,Adopted r survey,Adopted r mag,Adopted r abs mag,Adopted r flux,Adopted r flux err,F275W-r Best,Adopted Best survey,Adopted Best,Adopted Best abs mag,Adopted Best flux,Adopted Best flux err,LegacySurvey r mag,LegacySurvey r abs mag,LegacySurvey r flux,LegacySurvey r flux err,LegacySurvey invvar+bkg r mag,LegacySurvey invvar+bkg r abs mag,LegacySurvey invvar+bkg r flux,LegacySurvey invvar+bkg r flux err,DES r mag,DES r abs mag,DES r flux,DES r flux err,PanSTARRS r mag,PanSTARRS r abs mag,PanSTARRS r flux,PanSTARRS r flux err,SkyMapper r mag,SkyMapper r abs mag,SkyMapper r flux,SkyMapper r flux err,Paper plot candidate
SN2008bc,(22.069),(-11.990),$<3.539$,SkyMapper,18.530 (0.046),-15.530 (0.046),13059.812602900343,324.81566793805916,$<3.539$,SkyMapper,18.530 (0.046),-15.530 (0.046),13059.812602900343,324.81566793805916,,,,,,,,,,,,,,,,,18.530 (0.046),-15.530 (0.046),13059.812602900343,324.81566793805916,False
SN2008bd,22.811 (0.157),-12.794 (0.157),4.886,PanSTARRS,17.925 (0.016),-17.680 (0.016),676.0622608012475,8.227310870332916,4.886,PanSTARRS,17.925 (0.016),-17.680 (0.016),676.0622608012475,8.227310870332916,21.488 (5.818),-14.118 (5.818),2.540745798226361,11.511836612890423,21.670 (7.937),-13.935 (7.937),2.148226889177982,15.70396820642292,,,,,17.925 (0.016),-17.680 (0.016),676.0622608012475,8.227310870332916,18.014 (0.016),-17.591 (0.016),18606.24067255417,226.60056579011,False
SN2008bq,22.115 (0.073),-13.785 (0.073),2.604,SkyMapper,19.511 (0.395),-16.389 (0.395),203.8681647384739,61.56717199246984,2.604,SkyMapper,19.511 (0.395),-16.389 (0.395),203.8681647384739,61.56717199246984,,,,,,,,,,,,,,,,,19.511 (0.395),-16.389 (0.395),203.8681647384739,61.56717199246984,False
SN2008bt,20.407 (0.032),-13.741 (0.032),3.846,LegacySurvey,16.561 (0.190),-17.587 (0.190),237.56764519803403,41.47886325263415,3.852,PanSTARRS,16.555 (0.014),-17.593 (0.014),2388.7990438439556,28.26538072712427,16.444 (0.140),-17.704 (0.140),264.48456933282256,30.641579708424597,16.561 (0.190),-17.587 (0.190),237.56764519803403,41.47886325263415,,,,,16.555 (0.014),-17.593 (0.014),2388.7990438439556,28.26538072712427,16.673 (0.013),-17.474 (0.013),64076.12508777776,695.5742781943063,False
SN2008cc,20.148 (0.030),-13.152 (0.030),5.186,LegacySurvey,14.962 (0.084),-18.339 (0.084),1035.4838881449862,80.39347107101436,5.186,LegacySurvey,14.962 (0.084),-18.339 (0.084),1035.4838881449862,80.39347107101436,14.875 (0.058),-18.426 (0.058),1121.8227212486167,55.47442846713789,14.962 (0.084),-18.339 (0.084),1035.4838881449862,80.39347107101436,,,,,,,,,14.975 (0.009),-18.326 (0.009),583628.2089748778,4211.075514813756,False
SN2008cf,22.438 (0.066),-14.191 (0.066),1.238,LegacySurvey,21.200 (0.305),-15.429 (0.305),3.31218830911103,0.9296989453195512,1.005,PanSTARRS,21.433 (0.069),-15.196 (0.069),26.726884417945342,1.4760900627735598,21.060 (2.538),-15.569 (2.538),3.76692131184921,7.742511769427232,21.200 (0.305),-15.429 (0.305),3.31218830911103,0.9296989453195512,,,,,21.433 (0.069),-15.196 (0.069),26.726884417945342,1.4760900627735598,24.526 (3.512),-12.103 (3.512),57.538114414132345,162.24350791567971,False
SN2008ff,(23.506),(-11.126),$<1.923$,SkyMapper,21.584 (0.237),-13.048 (0.237),807.4039383070734,158.6670942961123,$<1.923$,SkyMapper,21.584 (0.237),-13.048 (0.237),807.4039383070734,158.6670942961123,21.307 (6.979),-13.325 (6.979),3.000510230362414,17.50100300383063,21.413 (0.979),-13.219 (0.979),2.722697915363005,2.454507571667655,,,,,,,,,21.584 (0.237),-13.048 (0.237),807.4039383070734,158.6670942961123,False
SN2008fl,21.751 (0.136),-13.014 (0.136),3.405,SkyMapper,18.346 (0.029),-16.420 (0.029),13246.495626020567,240.700778201804,3.405,SkyMapper,18.346 (0.029),-16.420 (0.029),13246.495626020567,240.700778201804,,,0.0,,,,,,,,,,,,,,18.346 (0.029),-16.420 (0.029),13246.495626020567,240.700778201804,False
SN2008fp,(21.339),(-10.496),$<6.231$,PanSTARRS,15.108 (0.016),-16.728 (0.016),9055.799013610682,87.8728875302722,$<6.231$,PanSTARRS,15.108 (0.016),-16.728 (0.016),9055.799013610682,87.8728875302722,,,,,,,,,,,,,15.108 (0.016),-16.728 (0.016),9055.799013610682,87.8728875302722,15.451 (0.014),-16.384 (0.014),204255.53694735712,1816.1090189051445,False
SN2008fr,22.661 (0.087),-13.562 (0.087),1.873,LegacySurvey,20.788 (0.050),-15.435 (0.050),4.840173744288812,0.2224416206221055,1.831,PanSTARRS,20.830 (0.038),-15.392 (0.038),46.54790740396366,1.4822188773906877,20.694 (2.067),-15.528 (2.067),5.276798724306565,9.214367684969703,20.788 (0.050),-15.435 (0.050),4.840173744288812,0.2224416206221055,,,,,20.830 (0.038),-15.392 (0.038),46.54790740396366,1.4822188773906877,20.427 (0.924),-15.795 (0.924),59.95320823062665,46.51100575464229,False
SN2008fu,23.301 (0.104),-13.563 (0.104),4.028,LegacySurvey,19.273 (0.182),-17.591 (0.182),19.535313747674135,3.2649542319372418,3.983,PanSTARRS,19.318 (0.017),-17.546 (0.017),187.48193782197495,2.862418059953707,19.227 (0.506),-17.637 (0.506),20.37422659504098,9.103725290098549,19.273 (0.182),-17.591 (0.182),19.535313747674135,3.2649542319372418,19.236 (0.006),-17.628 (0.006),20211.49769745811,104.88795672632074,19.318 (0.017),-17.546 (0.017),187.48193782197495,2.862418059953707,19.486 (0.027),-17.378 (0.027),3888.6327648030456,92.80760921517656,False
SN2008ge,16.611 (0.003),-14.494 (0.003),4.956,LegacySurvey,11.656 (0.027),-19.450 (0.027),21765.92155168194,533.292741647257,4.956,LegacySurvey,11.656 (0.027),-19.450 (0.027),21765.92155168194,533.292741647257,11.629 (0.012),-19.476 (0.012),22306.15260685765,239.402986700569,11.656 (0.027),-19.450 (0.027),21765.92155168194,533.292741647257,11.606 (0.005),-19.499 (0.005),22780724.932554793,102342.97147616702,,,,,11.716 (0.041),-19.389 (0.041),4064522.233121999,151271.6935253422,False
SN2008gg,(24.104),(-11.651),$<0.865$,DES,23.239 (0.207),-12.516 (0.207),506.4349498224205,92.18627336150236,$<0.865$,DES,23.239 (0.207),-12.516 (0.207),506.4349498224205,92.18627336150236,22.600 (13.335),-13.155 (13.335),0.9121158320236028,10.684697786804684,22.651 (0.492),-13.104 (0.492),0.8699459929599985,0.3939223833318907,23.239 (0.207),-12.516 (0.207),506.4349498224205,92.18627336150236,22.850 (0.262),-12.905 (0.262),7.247148913883448,1.6617406486697524,(22.418),(-13.337),-99.68507320231504,113.0607477295936,False
SN2008hj,23.315 (0.158),-12.802 (0.158),0.934,PanSTARRS,22.380 (0.159),-13.736 (0.159),11.164253974385511,1.5205339219621936,0.934,PanSTARRS,22.380 (0.159),-13.736 (0.159),11.164253974385511,1.5205339219621936,22.208 (8.182),-13.909 (8.182),1.3090736353967878,9.20795073301197,22.282 (1.015),-13.834 (1.015),1.2219041360614211,1.142411251964672,,,,,22.380 (0.159),-13.736 (0.159),11.164253974385511,1.5205339219621936,22.789 (0.469),-13.328 (0.469),249.44629202427467,100.11740247827218,False
SN2008hu,23.924 (0.315),-12.834 (0.315),1.608,PanSTARRS,22.315 (0.144),-14.442 (0.144),11.85644807496574,1.2681044994647634,1.608,PanSTARRS,22.315 (0.144),-14.442 (0.144),11.85644807496574,1.2681044994647634,,,,,,,,,,,,,22.315 (0.144),-14.442 (0.144),11.85644807496574,1.2681044994647634,25.857 (14.602),-10.900 (14.602),7.3291059256230735,79.07012919490722,False
SN2008ia,21.067 (0.085),-13.887 (0.085),4.358,SkyMapper,16.708 (0.012),-18.245 (0.012),72276.18861010447,504.6715438286021,4.358,SkyMapper,16.708 (0.012),-18.245 (0.012),72276.18861010447,504.6715438286021,,,,,,,,,,,,,,,,,16.708 (0.012),-18.245 (0.012),72276.18861010447,504.6715438286021,False
