sn_name,sample_name,source_file,status,fit_message,max_status,max_fit_message,ebv2_status,ebv2_fit_message,z,sample_redshift,sample_rasn,sample_decsn,sample_sntype,sample_redshift_source,max_Tmax,max_e_Tmax,max_sBV,max_e_sBV,max_st,max_e_st,ebv2_Tmax,ebv2_e_Tmax,ebv2_sBV,ebv2_e_sBV,ebv2_st,ebv2_e_st,ebv2_EBVhost,ebv2_e_EBVhost,B_Tmax,B_e_Tmax,g_Tmax,g_e_Tmax,r_Tmax,r_e_Tmax,B_Mmax,B_e_Mmax,g_Mmax,g_e_Mmax,r_Mmax,r_e_Mmax,B_Mcorr,B_kcor,g_Mcorr,g_kcor,r_Mcorr,r_kcor,EBVgal,max_rchisq,ebv2_rchisq,bands_available,max_bands_used,max_fit_attempts,ebv2_bands_used,ebv2_fit_attempts,k_version,stype,max_plot_file,ebv2_plot_file,max_fit_file,ebv2_fit_file,B_source,g_source,r_source,failure_group
SN2007cq,SN2007cq,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/SN2007cq_raw.txt,failed,'filter ID B_Keplercam not found',import_failed,'filter ID B_Keplercam not found',import_failed,'filter ID B_Keplercam not found',,0.025966,22:14:40.430,+05:04:48.90,Ia,corez_zobs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,st,,,,,,,,import/filter-definition problem
SN2007fb,SN2007fb,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/SN2007fb_raw.txt,failed,'filter ID B_Keplercam not found',import_failed,'filter ID B_Keplercam not found',import_failed,'filter ID B_Keplercam not found',,0.018062,23:56:52.370,+05:30:31.79,Ia,corez_zobs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,st,,,,,,,,import/filter-definition problem
SN2007fs,SN2007fs,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/SN2007fs_raw.txt,failed,'filter ID B_Keplercam not found',import_failed,'filter ID B_Keplercam not found',import_failed,'filter ID B_Keplercam not found',,0.017281,22:01:40.440,-21:30:29.59,Ia,corez_zobs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,st,,,,,,,,import/filter-definition problem
SN2008cm,SN2008cm,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/SN2008cm_raw.txt,failed,'filter ID B_Keplercam not found',import_failed,'filter ID B_Keplercam not found',import_failed,'filter ID B_Keplercam not found',,0.010608,07:16:38.750,-62:18:52.88,Ia,corez_zobs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,st,,,,,,,,import/filter-definition problem
SN2008ge,SN2008ge,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/SN2008ge_raw.txt,failed,'filter ID uvm2_swift not found',import_failed,'filter ID uvm2_swift not found',import_failed,'filter ID uvm2_swift not found',,0.003835,04:08:24.679,-47:53:47.40,Ia-02cx,corez_zobs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,st,,,,,,,,import/filter-definition problem
SN2009ig,SN2009ig,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/SN2009ig_raw.txt,failed,'filter ID B_Keplercam not found',import_failed,'filter ID B_Keplercam not found',import_failed,'filter ID B_Keplercam not found',,0.008867,02:38:11.611,-01:18:45.11,Ia,corez_zobs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,st,,,,,,,,import/filter-definition problem
SN2009jr,SN2009jr,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/SN2009jr_raw.txt,failed,'filter ID B_Keplercam not found',import_failed,'filter ID B_Keplercam not found',import_failed,'filter ID B_Keplercam not found',,0.016527,20:26:26.030,+02:54:33.01,Ia,corez_zobs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,st,,,,,,,,import/filter-definition problem
SN2009nr,SN2009nr,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/SN2009nr_raw.txt,failed,'filter ID I not found',import_failed,'filter ID I not found',import_failed,'filter ID I not found',,0.011224,13:10:58.949,+11:29:29.29,Ia,corez_zobs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,st,,,,,,,,import/filter-definition problem
SN2010ae,SN2010ae,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/SN2010ae_raw.txt,failed,All weights for filter B are zero. The fitter is in a part of parameter space where the model is not valid or there is no useful data. | All weights for filter g are zero. The fitter is in a part of parameter space where the model is not valid or there is no useful data.,failed,All weights for filter B are zero. The fitter is in a part of parameter space where the model is not valid or there is no useful data.,failed,All weights for filter g are zero. The fitter is in a part of parameter space where the model is not valid or there is no useful data.,0.00366,0.003669,07:15:54.650,-57:20:36.89,Ia-02cx,corez_zobs,0.0,0.0,,,,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,"Jrc2,g,i,H,J,r,V,Y,Ydw,B",,"Jrc2,g,i,H,J,r,V,Y,Ydw,B | g,i,H,J,r,V,Y,Ydw,B | g,i,r,V,B",,"Jrc2,g,i,H,J,r,V,Y,Ydw,B | g,i,H,J,r,V,Y,Ydw,B | g,i,r,V,B",H3,st,,,,,,,,too sparse / no useful data in required bands
SN2010dl,SN2010dl,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/SN2010dl_raw.txt,failed,'filter ID H-2mass not found',import_failed,'filter ID H-2mass not found',import_failed,'filter ID H-2mass not found',,0.030154,21:35:00.970,-00:30:47.81,Ia,corez_zobs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,st,,,,,,,,import/filter-definition problem
