sample_sn,has_snoopy_txt,matched_txt_files,n_matched_files
SN2013fz,True,SN2013fz_raw.txt,1
SN2013gy,True,SN2013gy_raw.txt,1
SN2014I,True,SN2014I_raw.txt,1
SN2014Z,True,SN2014Z_raw.txt,1
SN2014ao,True,SN2014ao_raw.txt,1
SN2014at,True,SN2014at_raw.txt,1
SN2014dm,True,SN2014dm_raw.txt,1
SN2014dt,True,SN2014dt_raw.txt,1
SN2015F,True,SN2015F_raw.txt,1
SN2015H,True,SN2015H_raw.txt,1
SN2016ecm,True,SN2016ecm_raw.txt,1
SN2017cbv,True,SN2017cbv_raw.txt,1
SN2017dps,True,SN2017dps_raw.txt,1
SN2018djd,True,SN2018djd_raw.txt; SN2018djd_ztf_forced_raw.txt,2
SN2018zz,True,SN2018zz_raw.txt,1
SN2020ejm,True,SN2020ejm_raw.txt,1
SN2020ftl,True,SN2020ftl_raw.txt,1
SN2020nvb,True,SN2020nvb_raw.txt,1
SN2020xyw,True,SN2020xyw_raw.txt,1
SN2021bmw,True,SN2021bmw_raw.txt,1
SN2022vqz,True,SN2022vqz_raw.txt,1
SN2023abqf,True,SN2023abqf_raw.txt,1
iPTF13dge,True,iPTF13dge_raw.txt,1
iPTF13dkl,True,iPTF13dkl_raw.txt,1
iPTF13dyt,True,iPTF13dyt_raw.txt,1
iPTF13efe,True,PTF13efe_raw.txt,1
iPTF14aje,True,PTF14aje_raw.txt,1
iPTF14yy,True,PTF14yy_raw.txt,1
