file,base_name,ra_deg,dec_deg,nearest_missing_sample,nearest_missing_ra,nearest_missing_dec,sep_arcsec,within_2arcsec,within_5arcsec,within_10arcsec
ZTF18abtywim_LC.csv,ZTF18abtywim,28.0157,-7.64257,SN2013dl,19.674,-7.444361111111111,29778.306670326234,False,False,False
ZTF18abtzzka_LC.csv,ZTF18abtzzka,109.33023,52.3066,CSS130317:082848+293031,127.1990833333333,29.508555555555557,94809.75027062082,False,False,False
ZTF18abuatfp_LC.csv,ZTF18abuatfp,208.0801,55.64118,SN2022epu,228.691862,31.223633,102233.74485157238,False,False,False
ZTF18abucvbf_LC.csv,ZTF18abucvbf,277.06369,46.35343,SN2004cs,267.5599208333333,14.28318888888889,118971.5264106996,False,False,False
ZTF18abufwxs_LC.csv,ZTF18abufwxs,353.53873,22.09261,SN2022wsp,345.0146916666666,15.9785,36396.66695088296,False,False,False
ZTF18abugthp_LC.csv,ZTF18abugthp,23.04438,-13.99028,SN2013dl,19.674,-7.444361111111111,26406.03126104296,False,False,False
ZTF18abuhyjv_LC.csv,ZTF18abuhyjv,39.0652,-1.19968,PTF12iiq,42.53233333333333,-0.26511111111111113,12926.056163822364,False,False,False
ZTF18abuhzfc_LC.csv,ZTF18abuhzfc,16.16169,-4.25813,SN2008ee,14.137329166666666,-1.771111111111111,11537.602486719694,False,False,False
ZTF18abuiknd_LC.csv,ZTF18abuiknd,29.35917,8.91729,SN2013ef,28.83629166666666,6.609811111111111,8513.701791384989,False,False,False
ZTF18abujbio_LC.csv,ZTF18abujbio,119.40794,44.74684,CSS130317:082848+293031,127.1990833333333,29.508555555555557,59170.3698684359,False,False,False
ZTF18abujnlz_LC.csv,ZTF18abujnlz,129.54454,24.89075,CSS130317:082848+293031,127.1990833333333,29.508555555555557,18240.161612082396,False,False,False
ZTF18abukmty_LC.csv,ZTF18abukmty,321.52652,24.04581,LSQ14fmg,334.1920833333333,15.353916666666667,53067.073306546576,False,False,False
ZTF18abulemm_LC.csv,ZTF18abulemm,322.73152,8.79597,LSQ14fmg,334.1920833333333,15.353916666666667,46720.860286095034,False,False,False
ZTF18abulkrl_LC.csv,ZTF18abulkrl,316.16004,57.96915,LSQ14fmg,334.1920833333333,15.353916666666667,160920.81770490797,False,False,False
ZTF18abuncpe_LC.csv,ZTF18abuncpe,26.97363,42.19592,SN1995Y,17.748329166666664,33.14463888888889,41811.95729296537,False,False,False
ZTF18abupgps_LC.csv,ZTF18abupgps,16.96568,-15.68064,LSQ14gde,15.177041666666666,-14.992583333333332,6685.52823790234,False,False,False
ZTF18abupgql_LC.csv,ZTF18abupgql,19.01531,-0.11744,SN2010jo,14.398249999999997,-1.392611111111111,17241.978366807452,False,False,False
ZTF18abupiap_LC.csv,ZTF18abupiap,44.83336,-14.09979,SN2021adlr,47.799,-8.469561,22811.05707069525,False,False,False
ZTF18abuqugw_LC.csv,ZTF18abuqugw,244.55767,39.12382,SN2022epu,228.691862,31.223633,54546.985244469324,False,False,False
