obsID,obs_collection,dataproduct_type,obs_id,description,type,dataURI,productType,productGroupDescription,productSubGroupDescription,productDocumentationURL,project,prvversion,proposal_id,productFilename,size,parent_obsid,dataRights,calib_level,filters
26659145,HST,image,hst_14779_36_wfc3_uvis_total_id7636,HAP fits science image,D,mast:HST/product/hst_14779_36_wfc3_uvis_total_id7636_drc.fits,SCIENCE,,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_36_wfc3_uvis_total_id7636_drc.fits,220440960,25864921,PUBLIC,3,detection
26659155,HST,image,hst_14779_41_wfc3_uvis_f275w_id7641,HAP fits science image,D,mast:HST/product/hst_14779_41_wfc3_uvis_f275w_id7641_drc.fits,SCIENCE,Minimum Recommended Products,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_41_wfc3_uvis_f275w_id7641_drc.fits,319800960,25056060,PUBLIC,3,F275W
26659094,HST,image,hst_14779_41_wfc3_uvis_f275w_id7641y3,HAP fits science image,D,mast:HST/product/hst_14779_41_wfc3_uvis_f275w_id7641y3_drc.fits,SCIENCE,,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_41_wfc3_uvis_f275w_id7641y3_drc.fits,319795200,25056060,PUBLIC,2,F275W
26659129,HST,image,hst_14779_41_wfc3_uvis_f275w_id7641y4,HAP fits science image,D,mast:HST/product/hst_14779_41_wfc3_uvis_f275w_id7641y4_drc.fits,SCIENCE,,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_41_wfc3_uvis_f275w_id7641y4_drc.fits,319795200,25056060,PUBLIC,2,F275W
26659180,HST,image,hst_14779_41_wfc3_uvis_total_id7641,HAP fits science image,D,mast:HST/product/hst_14779_41_wfc3_uvis_total_id7641_drc.fits,SCIENCE,,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_41_wfc3_uvis_total_id7641_drc.fits,319800960,25056060,PUBLIC,3,detection
26659401,HST,image,hst_14779_43_wfc3_uvis_f275w_id7643,HAP fits science image,D,mast:HST/product/hst_14779_43_wfc3_uvis_f275w_id7643_drc.fits,SCIENCE,Minimum Recommended Products,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_43_wfc3_uvis_f275w_id7643_drc.fits,233340480,25857702,PUBLIC,3,F275W
26659396,HST,image,hst_14779_43_wfc3_uvis_f275w_id7643n5,HAP fits science image,D,mast:HST/product/hst_14779_43_wfc3_uvis_f275w_id7643n5_drc.fits,SCIENCE,,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_43_wfc3_uvis_f275w_id7643n5_drc.fits,233334720,25857702,PUBLIC,2,F275W
26659399,HST,image,hst_14779_43_wfc3_uvis_f275w_id7643n7,HAP fits science image,D,mast:HST/product/hst_14779_43_wfc3_uvis_f275w_id7643n7_drc.fits,SCIENCE,,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_43_wfc3_uvis_f275w_id7643n7_drc.fits,233334720,25857702,PUBLIC,2,F275W
26659404,HST,image,hst_14779_43_wfc3_uvis_total_id7643,HAP fits science image,D,mast:HST/product/hst_14779_43_wfc3_uvis_total_id7643_drc.fits,SCIENCE,,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_43_wfc3_uvis_total_id7643_drc.fits,233340480,25857702,PUBLIC,3,detection
26660157,HST,image,hst_14779_44_wfc3_uvis_f275w_id7644,HAP fits science image,D,mast:HST/product/hst_14779_44_wfc3_uvis_f275w_id7644_drc.fits,SCIENCE,Minimum Recommended Products,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_44_wfc3_uvis_f275w_id7644_drc.fits,422115840,25059466,PUBLIC,3,F275W
