sn_name,sn_ra_deg,sn_dec_deg,sep_arcsec,obs_id,target_name,instrument_name,filters,proposal_id,proposal_pi,obs_title,t_min,t_max,t_exptime,calib_level
SN2012bl,305.980333,-48.354806,0.0017876517932456947,hst_skycell-p0409x05y01_wfc3_uvis_f275w_all,SN2012BL,WFC3/UVIS,F275W,,,,56033.75273771,56038.16655713,724.0,3
SN2012bl,305.980333,-48.354806,0.0017876517932456947,hst_12582_05_wfc3_uvis_f275w_ibxb05,SN2012BL,WFC3/UVIS,F275W,12582,"Goobar, Ariel",,56033.75273771,56033.77271454,362.0,3
SN2012bl,305.980333,-48.354806,0.0017876517932456947,hst_12582_07_wfc3_uvis_f275w_ibxb07,SN2012BL,WFC3/UVIS,F275W,12582,"Goobar, Ariel",,56038.14658031,56038.16655713,362.0,3
SN2012bl,305.980333,-48.354806,0.0017876517932456947,ibxb05010,SN2012BL,WFC3/UVIS,F275W,12582,"Goobar, Ariel",Probing the explosion environment and origin of Type Ia supernovae,56033.75273769676,56033.77271454861,362.0,3
SN2012bl,305.980333,-48.354806,0.0017876517932456947,ibxb07010,SN2012BL,WFC3/UVIS,F275W,12582,"Goobar, Ariel",Probing the explosion environment and origin of Type Ia supernovae,56038.16446215278,56038.1665571412,362.0,3
SN2012fr,53.400417,-36.126111,62.91925963111482,hst_skycell-p0498x16y19_wfc3_uvis_f275w_all,NGC-1365-N,WFC3/UVIS,F275W,,,,58684.8835411,58685.02251089,2190.0,3
SN2012fr,53.400417,-36.126111,62.91925963111482,hst_skycell-p0498x17y19_wfc3_uvis_f275w_all,NGC-1365-N,WFC3/UVIS,F275W,,,,58684.8835411,58685.02251089,2190.0,3
SN2012fr,53.400417,-36.126111,62.91925963111482,hst_skycell-p0570x06y02_wfc3_uvis_f275w_all,NGC-1365-N,WFC3/UVIS,F275W,,,,58684.8835411,58685.02251089,2190.0,3
SN2012fr,53.400417,-36.126111,62.91925963111482,hst_skycell-p0570x07y02_wfc3_uvis_f275w_all,NGC-1365-N,WFC3/UVIS,F275W,,,,58684.8835411,58685.02251089,2190.0,3
SN2012fr,53.400417,-36.126111,62.91925963111482,hst_15654_09_wfc3_uvis_f275w_idxr09,NGC-1365-N,WFC3/UVIS,F275W,15654,"Lee, Janice",,58684.8835411,58685.02251089,2190.0,3
SN2012fr,53.400417,-36.126111,62.91925963111482,idxr09060,NGC-1365-N,WFC3/UVIS,F275W,15654,"Lee, Janice",PHANGS-HST: Linking Stars and Gas throughout the Scales of Star Formation,58684.94384186342,58685.02251087963,2190.0,3
SN2013fz,65.9435,-51.596194,18.01241990367502,hst_skycell-p0306x11y04_wfc3_uvis_f275w_all,PSNJ0423-5136,WFC3/UVIS,F275W,,,,58623.15943052,58623.17659476,780.0,3
SN2013fz,65.9435,-51.596194,18.01241990367502,hst_15166_57_wfc3_uvis_f275w_idi157,PSNJ0423-5136,WFC3/UVIS,F275W,15166,"Filippenko, Alex V.",,58623.15943052,58623.17659476,780.0,3
SN2013fz,65.9435,-51.596194,18.01241990367502,idi157010,PSNJ0423-5136,WFC3/UVIS,F275W,15166,"Filippenko, Alex V.","Continuing a Snapshot Survey of the Sites of Recent, Nearby Supernovae: Cycles 25 & 26",58623.159430520835,58623.176594756944,780.0,3
SN2013gv,47.488792,19.213667,0.9022076423225601,hst_skycell-p1689x05y16_wfc3_uvis_f275w_all,SN2013GV,WFC3/UVIS,F275W,,,,57771.04721929,57771.05870057,858.0,3
SN2013gv,47.488792,19.213667,0.9022076423225601,hst_14779_48_wfc3_uvis_f275w_id7648,SN2013GV,WFC3/UVIS,F275W,14779,"Graham, Melissa Lynn",,57771.04721929,57771.05870057,858.0,3
SN2013gv,47.488792,19.213667,0.9022076423225601,id7648010,SN2013GV,WFC3/UVIS,F275W,14779,"Graham, Melissa Lynn",A NUV Imaging Survey for Circumstellar Material in Type Ia Supernovae,57771.047219293985,57771.0587005787,858.0,3
SN2013hh,172.268208,17.235972,0.0013976033646832305,hst_skycell-p1719x08y08_wfc3_uvis_f275w_all,SN2013HH,WFC3/UVIS,F275W,,,,57915.05631982,57915.0678011,858.0,3
SN2013hh,172.268208,17.235972,0.0013976033646832305,hst_skycell-p1719x09y08_wfc3_uvis_f275w_all,SN2013HH,WFC3/UVIS,F275W,,,,57915.05631982,57915.0678011,858.0,3
SN2013hh,172.268208,17.235972,0.0013976033646832305,hst_14779_34_wfc3_uvis_f275w_id7634,SN2013HH,WFC3/UVIS,F275W,14779,"Graham, Melissa Lynn",,57915.05631982,57915.0678011,858.0,3
SN2013hh,172.268208,17.235972,0.0013976033646832305,id7634010,SN2013HH,WFC3/UVIS,F275W,14779,"Graham, Melissa Lynn",A NUV Imaging Survey for Circumstellar Material in Type Ia Supernovae,57915.05631982639,57915.067801122685,858.0,3
SN2014I,85.5825,-25.544417,0.0011999879860647737,hst_skycell-p0733x03y13_wfc3_uvis_f275w_all,SN2014I,WFC3/UVIS,F275W,,,,57732.24114146,57732.25262274,858.0,3
SN2014I,85.5825,-25.544417,0.0011999879860647737,hst_14779_44_wfc3_uvis_f275w_id7644,SN2014I,WFC3/UVIS,F275W,14779,"Graham, Melissa Lynn",,57732.24114146,57732.25262274,858.0,3
SN2014I,85.5825,-25.544417,0.0011999879860647737,id7644010,SN2014I,WFC3/UVIS,F275W,14779,"Graham, Melissa Lynn",A NUV Imaging Survey for Circumstellar Material in Type Ia Supernovae,57732.24114146991,57732.2526227662,858.0,3
SN2014dl,247.442042,8.641833,0.0016873661042332289,hst_skycell-p1562x08y05_wfc3_uvis_f275w_all,SN2014DL,WFC3/UVIS,F275W,,,,57932.48944593,57932.50092721,858.0,3
